109,77,331,77,331,141,109,141,SHIP TO:
97,181,248,181,248,223,97,223,John Doe
97,233,356,233,356,275,97,275,123 Main Street,
97,288,211,288,211,330,97,330,Apt 4B,
97,341,448,341,448,382,97,382,New York, 10001, USA
784,74,887,74,887,114,784,114,FROM:
794,188,1074,188,1074,228,794,228,ACME Corporation
794,239,1081,239,1081,279,794,279,456 Industrial Blvd,
794,290,1169,290,1169,330,794,330,Los Angeles, 90001, USA
65,621,224,621,224,662,65,662,ORDER ID:
354,623,526,623,526,663,354,663,123456789
65,706,202,706,202,747,65,747,WEIGHT:
354,706,452,706,452,747,354,747,2.5 KG
65,786,279,786,279,827,65,827,DIMENSIONS:
354,786,645,786,645,827,354,827,12cmx12cmx12cm
63,871,319,871,319,911,63,911,SHIPPING DATE:
354,870,524,870,524,910,354,910,2024-08-31
784,617,953,617,953,658,784,658,REMARKS:
794,679,1005,679,1005,719,794,719,NO REMARKS
472,1225,847,1225,847,1267,472,1267,TRACK123456789US
</s>
